010101	A	计科	男	12345678910
010102	B	计科	女	12345678910
010103	C	计科	男	12345678910
010104	D	计科	男	12345678910
010105	E	计科	女	12345678910
010106	F	计科	男	12345678910
010107	G	计科	 女	12345678910
010108	H	计科	男	12345678910
010109	I	计科	男	12345678910
010110	J	计科	女	12345678910
010201	K	计科	女	12345678910
010202	L	计科	男	12345678910
010203	M	计科	女	12345678910
010204	N	计科	女	12345678910
010205	O	计科	男	12345678910
020101	P	智科	女	12345678910
020102	Q	智科	男	12345678910
020103	R	网工	女	12345678910
020104	S	网安	女	12345678910
020105	T	食工	男	12345678910
